title,authors,arxiv_id,year,thread,relevance_to_MILO_MION
"Old Optimizer, New Norm: An Anthology","Bernstein, Newhouse",2409.20325,2024,Theory: norm/steepest-descent view,Recasts Adam/Shampoo/Muon as steepest descent under different norms; each parameter type gets its own norm. This IS the MILO 'structure-aligned' principle stated as theory.
Modular Duality in Deep Learning,"Bernstein, Newhouse",2410.21265,2024,Theory: duality maps per layer,"Prescribes the correct 'dualizer' (update map) for each layer type — RMS→RMS for embeddings, spectral for hidden. Directly prescribes what MION's embedding path should be."
Scalable Optimization in the Modular Norm,"Large, Liu, Bernstein et al.",2405.14813,2024,Theory: modular norm + LR transfer,"Assigns each module a norm, normalizes updates to it; gives width/depth LR transfer for free (Modula). Frames the single-LR claim rigorously and gives a muP-like transfer story."
Training Deep Learning Models with Norm-Constrained LMOs (Scion),Pethick et al.,2502.07529,2025,Theory: LMO / unconstrained Scion,Linear-minimization-oracle optimizers over norm balls; unifies Muon-like methods and gives scaling/transfer. A unified frame to cite for the family.
Training Neural Networks at Any Scale,Pethick et al.,2511.11163,2025,Review: modern optimizer framework,Recent synthesis of norm-based/scalable optimizer design; useful related-work anchor.
Muon is Scalable for LLM Training (Moonlight),Liu et al. (Moonshot),2502.16982,2025,Muon at scale + weight decay + RMS match,Shows Muon needs weight decay + per-param update-RMS matching to scale; 16B MoE. Their update-scale matching is exactly MION's RMS-unit rescale — strong citation for §2.3.
Kimi K2: Open Agentic Intelligence (MuonClip),Kimi Team,2507.20534,2025,"Muon at 1T params, QK-clip stability",Largest public Muon run (1T MoE); introduces MuonClip to fix attention-logit blowups. Evidence Muon-family scales; a stability lever MION may need at scale.
NorMuon: Making Muon more efficient and scalable,Zhang et al.,2510.05491,2025,Muon + per-neuron second moment,Adds a per-neuron (row) second-moment normalization ON TOP of orthogonalization. This is precisely the MiloM per-row idea fused with MION's spectral path — the most direct 'synchronize' candidate.
Dion: Distributed Orthonormalized Updates,Ahn et al. (Microsoft),2504.05295,2025,Distributed/low-rank orthogonalization,Scalable orthonormal updates via distributed/amortized orthogonalization; addresses the 'no distributed results' limitation and cheaper NS at scale.
PolarGrad: Matrix-Gradient Optimizers from a Unifying Preconditioning View,Lau et al.,2505.21799,2025,Unifying preconditioning view,Polar-decomposition family unifying Muon/Shampoo as matrix-gradient preconditioners; another frame to position the spectral path.
AMO: Adaptive Muon Orthogonalization,(2026),2605.17806,2026,Adaptive amount of orthogonalization,Makes the degree of orthogonalization adaptive — bridges 'full orthogonalization (MION) vs gentle group-std (MILO)'; relevant to the regime finding.
How Much Orthogonalization Does Muon Need?,(2026),2606.00371,2026,Partial orthogonalization sufficiency,Studies partial orthogonalization; supports a gated/tunable-strength spectral update for the pretraining↔fine-tuning spectrum.
Preconditioning Benefits of Spectral Orthogonalization in Muon,(2026),2601.13474,2026,Why orthogonalization helps (theory),Theoretical account of when spectral orthogonalization preconditions well — supports the ablation showing the spectral path is essential.
The Polar Express: Optimal Matrix Sign Methods for Muon,Amsel et al.,2505.16932,2025,Optimal NS polynomials,Optimal odd-polynomial iteration for the matrix sign/orthogonalization — faster/more accurate than the quintic NS MION uses; drop-in improvement to ns_steps cost.
Accelerating Newton-Schulz via Chebyshev-type Polynomials,(2025),2506.10935,2025,Faster NS polynomials,Chebyshev-type acceleration of the NS iteration; another lever on MION's ~20% per-step overhead.
Iterative Orthogonalization Scaling Laws,(2025),2505.04005,2025,NS iteration count vs scale,How many NS steps are needed as matrices grow — informs the ns_steps ablation at larger scale.
Feature Learning in Infinite-Width Networks (muP / Tensor Programs),"Yang, Hu",2011.14522,2020,muP / hyperparameter transfer,Original maximal-update parametrization enabling zero-shot LR transfer across width. The backbone for the requested scaling-law/LR-transfer experiment.
u-muP: The Unit-Scaled Maximal Update Parametrization,Blake et al.,2407.17465,2024,"muP + unit scaling, simpler transfer","Cleaner, more robust muP variant; recommended parameterization for MION's transfer study given its RMS-unit design already."
On the Width Scaling of Neural Optimizers Under Matrix Operator Norms,(2026),2603.09952,2026,LR transfer for Muon-type methods,Width-scaling / LR-transfer theory specifically for operator-norm (Muon-like) optimizers — the exact tool to give MION a muP-style single-LR-transfers claim.
Adam-mini: Use Fewer Learning Rates To Gain More,Zhang et al.,2406.16793,2024,Memory-light baseline,Baseline already in the paper; block-wise single LR. Position MION's single-buffer against it directly.
SWAN: SGD with Normalization and Whitening Enables Stateless Training,Ma et al.,2412.13148,2024,Stateless normalize+whiten,Stateless optimizer via gradient normalization + whitening — conceptually the closest published relative of MILO's group-standardization; must-cite for related work.
